 1 		          0 	                 1000
 1 		          0 	                 1000
 1 		          0 	                 1000
 1 		          0 	               100000
 1 		          3 	              1000000
 1 		         32 	             10000000
 1 		       2176 	           1000000000
 1 		          0 	                 1000
 1 		          0 	                10000
 1 		          0 	               100000
 1 		          3 	              1000000
 1 		         22 	             10000000
 1 		        217 	            100000000
 1 		       2177 	           1000000000
 1 		          0 	                10000
 1 		          1 	               100000
 1 		          2 	              1000000
 1 		          2 	              1000000
 1 		         22 	             10000000
 1 		        218 	            100000000
 1 		       2271 	           1000000000
 1 		          2 	                  100
 1 		          2 	                  100
 1 		          3 	                  100
 1 		          2 	                  100
 1 		          2 	                  100
